 	Loπi h◊nh NPC	NgÚ hµnh phﬂng ng˘	NgÚ hµnh t n c´ng	Sinh l˘c	TËc ÆÈ di chuy”n 	ThÍi gian phÙc hÂi (sË li÷u)	Duy tr◊ thÍi gian n– tr∏nh (sË li÷u)	Duy tr◊ thÍi gian phﬂng ng˘ (sË li÷u)	ThÍi gian phÙc hÂi (sË li÷u)	NpcResType	Œ‰∆˜◊ ‘¥√˚≥∆	√¸÷–÷µ	Ch› mπng (kh´ng t∏c dÙng) 	N– tr∏nh 	T®ng t n c´ng vÀt l˝	T®ng NÈi c´ng 	Linh hoπt (kh´ng t∏c dÙng) 	Phﬂng thÒ vÀt l˝	Phﬂng ng˘ vÀt l˝ 100%	Phﬂng thÒ nÈi c´ng	NÈi phﬂng 100%	Phπm vi	Loπi AI	Kho∂ng c∏ch thÍi gian xˆ l˝ AI (sË li÷u)	SË hi÷u k¸ n®ng (1)	ßºng c p k¸ n®ng (1)	X∏c xu t k¸ n®ng (1)	X∏c xu t k¸ n®ng (2)	ßºng c p k¸ n®ng (2)	X∏c xu t k¸ n®ng (2)	SË hi÷u k¸ n®ng (3)	ßºng c p k¸ n®ng (3)	X∏c xu t k¸ n®ng (3)	SË hi÷u k¸ n®ng (4)	ßºng c p k¸ n®ng (4)	X∏c xu t k¸ n®ng (4)	Thi’t lÀp file vÀt r¨i	SË l≠Óng vÀt r¨i	C p	Trﬁ kinh nghi÷m 1	Trﬁ kinh nghi÷m 2	ThÍi gian mÁi c´ng k›ch th≠Íng 	Boss?	Chuy”n ÆÈng khi ÆËi thoπi kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	C„ hÂi m∏u kh´ng (0: Kh´ng; 1: C„; M∆c Æﬁnh: C„)	BossCfg	M∆c Æﬁnh script ÆËi thoπi ho∆c script tr‰ng th≠¨ng	Bπo k›ch	Bπo th≠¨ng	ChËng bπo k›ch	ChËng bπo th≠¨ng	InitScript
HÂng  n gi∏o chÒ 7B	0	0	0	10000000	20	7	5	5	259200	∫Ï”°ΩÃ÷˜		4000	100	500	3000;9000	3000;9000	10	0	20	200	30	1000	5	18	1596	2	40	1597	2	30	1598	6	30	1336	12	0			80			9	2									
Ki’m V´ 2	0	0	0	200000000	14	7	5	5	259200	Ω£Œﬁ		4000	100	500	2000;4000	2000;4000	10	500	50	500	50	1000	5	18	701	2	50	1594	2	20	1595	2	30						80			9	2									
Ng´ Nh©n ßπo	6									ŒÂ∂æ ◊œØ±Í◊ºƒ–																													80													
Ng´ Nh©n Hπnh	6									¥‰—Ã ◊œØ–‘∏–≈Æ																													80													
Ki’m ßÂng Di÷p L≠Óng	0	0	0	200000000	8	7	5	5	259200	Ω£…∑		3000	100	0	2000;4000	2000;4000	10	150	30	200	35	1000	5	18	1604	1	100												80			9	2									
Thi™n ¢m Gi∏o M∑nh ßÈc S∏t ThÒ	0	0	0	150000	14	7	5	5	259200	⁄§Õµ		3000	100	0	800;1200	800;1200	10	150	30	200	35	1000	5	18	1605	2	85	1606	2	15	635	10	0						80			9	1									
Thi™n ¢m Gi∏o L´i Quang S∏t ThÒ	0	0	0	120000	14	7	5	5	259200	…Ò√ÿ∫⁄“¬»À		3000	100	0	800;1200	800;1200	10	150	30	200	35	1000	5	18	1607	2	80	1608	2	20	635	10	0						80			9	1									
Thi™n ¢m Gi∏o H·a S∏t ThÒ	0	0	0	200000	14	7	5	5	259200	≈ÆΩ£∫¿		3000	100	0	800;1200	800;1200	10	150	30	200	35	1000	5	18	610	11	90	623	1	10	635	20	0						80			9	1			\settings\npc\boss_setting\ÃÏ“ıΩÃ»º—◊…± ÷.ini						
V´ ∂nh Nh…n Ti™u Cˆu Cˆu	0	0	0	2000000	20	7	5	5	259200	π≈ƒ´		3000	100	0	800;1200	800;1200	10	150	30	200	35	1000	5	18	610	11	70	1606	2	15	647	3	15	1336	12	0			80			9	2									
V´ ∂nh Nh…n Ph©n Th©n	0	0	0	670000	20	7	5	5	259200	π≈ƒ´		3000	100	0	800;1200	800;1200	10	150	30	200	35	1000	5	18	610	11	70	1606	2	15	647	3	15	1336	12	0			80			9	2									
Thπch Nh©n Qu¸ KhÊi LÁi	0	0	0	561600	5	7	5	5	259200	 Ø»À1		3000	100	0	1920;2880	1920;2880	10	300	0	200	35	1000	5	18	701	2	70	1610	2	20	1611	2	10	635	10	0			80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
MÈc Nh©n Y™u	0	0	0	432000	14	7	5	5	259200	ª˙πÿ»À2		3000	100	0	1920;2880	1920;2880	10	300	0	200	35	1000	5	18	701	2	50	1605	2	20	1612	3	30						80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
H·a Di‘m Thπch Nh©n KhÊi LÁi	0	0	0	864000	5	7	5	5	259200	 Ø»À3		3000	100	0	1920;2880	1920;2880	10	300	0	200	35	1000	5	18	1610	2	80	1611	2	20	1626	1	0	635	20	0			80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
C¨ Quan Bµn Long TrÙ	0	0	0	8640000	0	20	5	10	259200	ª˙πÿ≈Ã¡˙÷˘	ø’ ÷	3000	100	0	3600;4800	3600;4800	10	100	0	50	15	1200	5	9	1614	2	70	1615	2	30	1336	12	0						80	1	1	9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Thi™n Ki’m Di÷p Phong	0	0	0	6480000	20	7	5	5	259200	ÃÏΩ£“∂∑Á		3000	100	0	3600;4800	4800;4800	10	300	0	200	35	1000	5	18	1616	2	80	1619	2	20	1336	12	0						80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
ßﬁa Ki’m Di÷p B®ng	0	0	0	6480000	20	7	5	5	259200	≤ÿΩ£…Ω◊ØÕ‚‘∫◊‹π‹30		3000	100	0	3600;4800	3600;4800	10	300	0	200	35	1000	5	18	1617	2	80	1620	2	20	1336	12	0						80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Nh©n Ki’m Di÷p MÈng	0	0	0	4320000	20	7	5	5	259200	»ÀΩ£“∂√Œ		3000	100	0	3600;4800	3600;4800	10	300	0	200	35	1000	5	18	1618	2	70	1621	5	30	1336	12	0						80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
HÂng  n Gi∏o ChÒ Ki’m TrÚng	0	0	0	360000000	0	7	5	5	259200	∫Ï”°ΩÃ÷˜		3000	100	0	960;1440	960;1440	10	999	99	999	99	1000	5	18	701	2	80	1625	2	20	1626	2	0	1336	12	0			80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Ma Ki’m Truy“n Nh©n Di÷p L≠Óng	0	0	0	3600000	7	7	5	5	259200	Ω£…∑		3000	100	0	1800;1800	1800;1800	10	150	30	200	35	1000	5	18	1629	2	80	1630	2	20	1336	12	0						80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
Huy‘n ∂nh Ki’m HÂn	0	0	0	180000000	14	7	5	5	259200	Ω£ªÍ		3000	100	0	960;1440	960;1440	10	150	30	200	35	1000	5	18	634	2	50	624	2	50									80			9	1							36	120	\settings\static_script\npc\init\3FBNPC.lua
Di÷p Tˆ Kh©u Ki’m TrÚng	0	0	0	300000000	14	7	5	5	259200	“∂◊”«		3000	100	0	2000;4000	2000;4000	10	150	30	200	35	1000	5	18	1604	1	100												80			9	2							36	120	\settings\static_script\npc\init\3FBNPC.lua
TË Ti™n Thu ThÒy ÆËi thoπi	6									«Ô»ÙÀÆ																													80											36	120	\settings\static_script\npc\init\3FBNPC.lua
ßi”m CÒi Lˆa	6				0				720	≤Òªµ„																																		0								
V‚ L©m Minh Th∏nh VÀt	6				0				720	±±¬Ã¡÷¡Ó																																										
T©y Hπ Chinh Nam T≠Ìng Qu©n	0			20000000	12	20	5	10	720	Œ˜œƒΩ´¡Ï1		4000	100	1000	3000;3500	3000;3500	10	150	30	150	50	400	3	9	1336	14	0	701	2	15	1403	1	15	1405	1	70			85	200000		9	2									
T©y Hπ Chinh Nam Qu©n S‹ 1	0			1000000	12	20	5	10	720	“∞¿˚∞‘—“		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
T©y Hπ Chinh Nam Qu©n S‹ 2	0			1000000	12	20	5	10	720	“∞¿˚∞‘—“		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
TrÙ Tr◊ H„a Sinh T˘	0			20000000	12	20	5	10	720	«ß—∞Òƒ ¶		4000	100	1000	3000;3500	3000;3500	10	150	30	150	50	400	3	9	1336	14	0	701	2	15	1403	1	15	1405	1	70			85	200000		9	2									
Ch p S˘ H„a Sinh T˘ 1	0			1000000	12	20	5	10	720	∂Ò…Æ		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
Ch p S˘ H„a Sinh T˘ 2	0			1000000	12	20	5	10	720	∂Ò…Æ		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
TrÙ Tr◊ Thi™n Long T˘	0			20000000	12	20	5	10	720	Õ”¬ﬁƒ·…Æ		4000	100	1000	3000;3500	3000;3500	10	150	30	150	50	400	3	9	1336	14	0	701	2	15	1403	1	15	1405	1	70			85	200000		9	2									
Ch p S˘ Thi™n Long T˘ 1	0			1000000	12	20	5	10	720	Úøª¥Û≥§¿œ		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
Ch p S˘ Thi™n Long T˘ 2	0			1000000	12	20	5	10	720	Úøª¥Û≥§¿œ		2000	100	1000	2200;2500	2200;2500	10	50	15	50	15	600	3	9	1336	14	0	701	2	60	622	4	20	620	2	20			85	50000		9	2									
R≠¨ng Qu©n Nhu T©y Hπ	6				0				720	ƒ‹¥Úø™µƒœ‰◊”																																										
TÛi H„a Sinh T˘	6				0				720	∏ﬂ ÷µƒ∞¸π¸																																		0								
TÛi Thi™n Long T˘	6				0				720	∏ﬂ ÷µƒ∞¸π¸																																		0								
ßoπn Khinh H«u	6				0				720	¥Û¿Ì»˝ª ◊”																																										
ßπt T©y §ng Tæc	6				0				720	≤ÿΩ£∏Û◊‹π‹30																																										
L˝ ß¯c Kh∏nh	6				0				720	∞µ∆˜∑ø÷˜π‹																																										
ThÊ PhÂn Phi™n T®ng	0			60000	14	20	5	10	720	–∞…Æ		2000	100	500	1500;2000	1500;2000	10	50	15	50	15	600	5	9	701	2	100												85	200000		9	1									
T©y Hπ Qu©n S‹	0			60000	14	20	5	10	720	‘˜∂Ò		2000	100	500	1500;2000	1500;2000	10	50	15	50	15	600	5	9	701	2	100												85	200000		9	1									
ßπi L˝ Hoµng TÈc Qu©n S‹	0			60000	14	20	5	10	720	¬Ìæ« ÿŒ¿		2000	100	500	1500;2000	1500;2000	10	50	15	50	15	600	5	9	701	2	100												85	200000		9	1									
V‚ L©m Minh-Truy“n Gi∏o S¯	6				0				720	¥‰—Ã’∆√≈																																										
Th∏i H≠ CÊ ThÙ 1	6				0				720	Ã´–Èπ≈ ˜1																																		0								
Th∏i H≠ CÊ ThÙ 2	6				0				720	Ã´–Èπ≈ ˜2																																		0								
Th∏i H≠ CÊ ThÙ 3	6				0				720	Ã´–Èπ≈ ˜3																																		0								
CÙc BÊn C∏c Qu˝	6				0				720	ÃÏÕı∞Ô÷˜																																										
L˝ ß¯c DÙc	6				0				720	Ωµ∂±¯																																										
ßoπn Khinh Nh©n	6				0				720	’‘Ÿ•																																										
TxTree_Init	6				0				720	√µπÂª®√Á								50	15	50	15																							0								
TxTree_Group	6				0				720	Ã´–È ˜≥…≥§Ω◊∂Œ								50	15	50	15																							0								
TxTree_Final	6				0				720	Ã´–È ˜◊Ó÷’Ω◊∂Œ								50	15	50	15																															
N∑i ß´ng Qu∏ch Nhi’p	6				0				720	ÚøªÃ≥÷˜																																										
L˝ Nguy™n L≠Óng	6				0				720	∂·±¶»À																																										
ßoπn T©m Di	6				0				720	≥¨º∂πÛ∏æ																																										
Ti™u ß«u Tr n Vi‘n Ti™u CÙc	6				0				720	ÀŒ∆Ô±¯																																										
Ti™u Xa 1	0			9600000	5				720	Ô⁄≥µ5								50	30	50	40		2	9	635	20	100	1336	12														2							600	1500	\settings\static_script\npc\init\biaoche.lua
Ti™u Xa 2	0			19200000	5				720	Ô⁄≥µ3								50	30	50	40		2	9	635	20	100	1336	12														2							600	1500	\settings\static_script\npc\init\biaoche.lua
Ti™u Xa 3	0			28800000	5				720	Ô⁄≥µ1								50	30	50	40		2	9	635	20	100	1336	12														2							600	1500	\settings\static_script\npc\init\biaoche.lua
Ti™u Xa 4	0			38400000	5				720	Ô⁄≥µ4								50	30	50	40		2	9	635	20	100	1336	12														2							600	1500	\settings\static_script\npc\init\biaoche.lua
Ti™u Xa 5	0			48000000	5				720	Ô⁄≥µ2								50	30	50	40		2	9	635	20	100	1336	12														2							600	1500	\settings\static_script\npc\init\biaoche.lua
B®ng T©m	6									±˘–ƒ																																										
Thanh H∂i Di™m Th≠¨ng	6				0				720	Œ˜ƒœ“©µÍ’∆πÒ																																										
Li™n minh ti™u cÙc s¯	6									Œ‰µ±∆˙ÕΩ10																																										
Li™n minh th≠¨ng hÈi s¯	6									∂Î·“ ◊œØ–‘∏–≈Æ																																										
V‚ L©m Minh-Kh´ MÈc ßπi S≠	6				0				720	…Ÿ¡÷”∞◊”ª§Œ¿																																										
Gi∏ vÚ kh›_Ngoµi thµnh	0			1	0				720	Œ‰∆˜º‹																																										
L∏ th∂o d≠Óc_Ngoµi thµnh	0			1	0				720	¬Ã ˜“∂																																										
Gi∏ khi™n_Ngoµi thµnh	0			1	0				720	∂‹≈∆º‹																																										
Giµy gi„_Ngoµi thµnh	0			1	0				720	∑…–¨																																										
T∏t Giµ Minh PhÒ	6				0				720	∫Ïœﬂ																																										
L˝ Ngπo Thi™n	6				0				720	≤–Õ»																																										
ßoµn Tˆ Ki÷t	6				0				720	≥Ã“√																																										
ß´ TÔng C∏t Ng‚a	6				0				720	–˛’Ê																																										
L˝ K’ Minh	6				0				720	Ω∆Ô±¯																																										
ßoµn Hﬂa Phong	6				0				720	…€”∫																																										
C∏t Kh©m X›ch Ba	6				0				720	Õ”¬ﬁƒ·…Æ																																										
L˝ K’ Tinh	6				0				720	¿Ó‘™–Ò																																										
ßoπn Hﬂa Huy“n	6				0				720	’≈‘Ò∂À																																										
T«m B∂o Nh©n	6				0				720	—∞±¶»Àπÿø®																																										
V‚ L©m Minh HÈ V÷	6									Œ‰¡÷√Àª§Œ¿																																										
Hµn Th’ M∑nh	6									Œ‰À…																																										
C∂nh V©n Phi 	6									“Âœ¿π¢‘∆∑…																																										
T©n Thanh Nhi‘m	6									¿Òœ¿–¡«Â»Ω																																										
B∏ch Hi”u Sinh	6									÷«œ¿∞Ÿœ˛…˙																																										
L≠¨ng Th≠Óng Ng‰c	6									–≈œ¿¡∫…–”Ò																																										
Di÷p Tˆ Kh≠u	6									“∂◊”«																																										
Gia C∏t K˙	6									 È…˙																																										
Hµn ßan T©m	6									∫´µ§–ƒ																																										
B∂o Ch©u Kim Cang	6									…Ÿ¡÷ ◊œØø˝Œ‡ƒ–																																										
Tr«n Tr∏c Hπo	6									Œ‰µ± ◊œØ±Í◊ºƒ–																																										
D≠¨ng Tam B∂o	6									—Ó√≈ ◊œØø˝Œ‡ƒ–																																										
Tr‰ng Khai Vinh	6									ÿ§∞Ô ◊œØø˝Œ‡ƒ–																																										
ß≠Íng MÈng L©m	6									Ã∆√≈ ◊œØ–‘∏–≈Æ																																										
T«n V´ M÷nh	6									ŒÂ∂æ ◊œØ±Í◊ºƒ–																																										
Mπc Y™n VÚ	6									∂Î·“ ◊œØ–‘∏–≈Æ																																										
Ti™u SÎ SÎ	6									¥‰—Ã ◊œØΩø–°≈Æ																																										
HÔng B∏ Thi™n	6									√˜ΩÃ ◊œØø˝Œ‡ƒ–																																										
Ng´ B t Duy	6									¿•¬ÿ ◊œØ±Í◊ºƒ–																																										
Ti™u Xa Ti™u CÙc	6			200000	0				720	Ô⁄≥µ1																																										
ßπo nh©n l≠u vong Tri”n T≠Íng	0	0	0	80000	14	20	5	10	16200	∑«≥£µ¿»À	ø’ ÷	2400	100	270	5000;6000	5000;6000	10	15	40	20	50	300	5	9	702	2	100												80	200	400	18	2									
D∑ nh©n	0	0	0	24000	12	17	10	10	720	—©‘≥	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Nguy÷t ßµn Gi∏o ChÛng	0	0	0	24000	12	17	10	10	720	Úøªª§∑®	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Nguy÷t ßµn ThuÀt S‹	0	0	0	24000	12	17	10	10	720	Úøª¥Ûª§∑®	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Th≠¨ng ¶ng	0	0	0	24000	12	17	10	10	720	Õª”•	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Mao ng≠u cao nguy™n	0	0	0	24000	12	17	10	10	720	√Á¡Î“∞ÍÛ≈£	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
BÈ tÈc ph∂n loπn	0	0	0	24000	12	17	10	10	720	Œ˜œƒ”¬ ø	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Tinh ßµn Gi∏o ChÛng	0	0	0	24000	12	17	10	10	720	ŒÂ–– πΩ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Tinh ßµn ThuÀt S‹	0	0	0	24000	12	17	10	10	720	√˜‘¬ ππÿø®	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
V÷ ThÛ Ph∂n Qu©n	0	0	0	24000	12	17	10	10	720	Œ˜œƒŒ‰ ø	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
V÷ ThÛ ThÒ L‹nh	0	0	0	24000	12	17	10	10	720	Ω£øÕ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Ch t Tˆ Ph∂n Qu©n	0	0	0	24000	12	17	10	10	720	√˜ΩÃ”“ª§∑®	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Ch t Tˆ T≠Ìng L‹nh	0	0	0	24000	12	17	10	10	720	∫⁄≈€ π’ﬂ1	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Th«n ßµn Gi∏o ChÛng	0	0	0	24000	12	17	10	10	720	ƒ–∫¸—˝	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Th«n ßµn ThuÀt S‹	0	0	0	24000	12	17	10	10	720	≈Æ∫¸œ…	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Bπch Linh T˘ T®ng Nh©n	0	0	0	24000	12	17	10	10	720	ƒ–∫¸—˝	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Hoµng TÈc Ph∂n Qu©n	0	0	0	24000	12	17	10	10	720	¡˙œÛ∑®…Æ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Hoµng TÈc T≠Ìng L‹nh	0	0	0	24000	12	17	10	10	720	∫Ô∂‹	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
Tr≠Íng Mao T≠Óng	0	0	0	24000	12	17	10	10	720	“∞√´œÛ	ø’ ÷	1073	100	10	650;748	650;748	0	0	0	0	0	300	5	9	701	2	50	703	2	50								1	85	1100	1100	18	0									
V‚ L©m Minh-ß÷ Tˆ Kh´ MÈc	6				0				720	…€”∫																																										
Ng≠Íi gÁ t©n thÒ	3	0	0	150	0	17	10	10	18	ƒæ»À◊Æ2	ø’ ÷	70	100	0	0;0	0;0	0	0	0	0	0	0	2	9														0	1	0	0	36	0									
MÈc Tˆ C≠¨ng	0	0	0	10000	15	17	10	10	259200	∏ﬂÂœ	ø’ ÷	1200	100	110	100;146	100;146	10	15	40	20	50	300	5	9	702	2	100												35	1530	1530	18	2									
MÈc Tˆ Minh	0	0	0	4000	15	17	10	10	259200	÷–º∂«πøÕ	ø’ ÷	1200	100	110	100;146	100;146	10	15	40	20	50	300	5	9	702	2	100												35	1530	1530	18	2									
Tˆ ¢n	0	0	0	30000	15	17	10	10	259200	∞¢Œ™	ø’ ÷	800	100	70	23;29	23;29	10	15	40	20	50	300	5	9	702	2	100												15	570	570	18	2									
Oa Kh u thÒ hπ	0	0	0	2000	14	17	10	10	259200	Ÿ¡ø‹2	ø’ ÷	70	100	100	130;150	130;150	10	15	40	20	100	300	2	9	701	2	100											1	20	100	200	36	0									
Lπc Ph∏ch S¨n T∆c	6	0	0	30000	15	17	10	10	180	…Ω‘ÙÕ∑ƒø	ø’ ÷	70	100	100	50;53	50;53	10	15	40	20	100	300	2	9	701	2	100											1	20	100	200	36	0									
Linh T“ Ki’m Di÷c Kh∂ L®ng	6	0	0	200000	15	17	10	10	54	√˜‘¬ ππÿø®	ø’ ÷	2700	100	310	650;748	650;748	10	15	40	20	50	300	5	9	702	2	90	1546	16	10									80	15000	15000	18	2									
Ph∏ HÂn ßao L©m Phong	6	0	0	200000	15	17	10	10	54	–°œƒÃÏ	ø’ ÷	2700	100	310	650;748	650;748	10	15	40	20	50	300	5	9	702	2	90	1546	16	10									80	15000	15000	18	2									
Qu˚ ∂nh BÛt L˝ Ch› Ki÷t	6	0	0	200000	15	17	10	10	54	Œ‰µ±”∞◊”ª§Œ¿	ø’ ÷	2700	100	310	650;748	650;748	10	15	40	20	50	300	5	9	702	2	90	1546	16	10									80	15000	15000	18	2									
V´ T◊nh Tr∂o Ti™u Thanh	6	0	0	200000	15	17	10	10	54	∫⁄∆Ï¥ÃøÕ	ø’ ÷	2700	100	310	650;748	650;748	10	15	40	20	50	300	5	9	702	2	90	1546	16	10									80	15000	15000	18	2									
men6_pt_wuxiaoxiao	6	0	0	100000	20	17	10	10	259200	’Êƒ…ƒ»	ø’ ÷	3000	100	600	4000;5000	4000;5000	10	15	40	20	50	300	5	9	702	2	100												80	15000	15000	18	2									
zmen6_pt_wuxiaoxiao	0	0	0	500000	20	17	10	10	54	’Êƒ…ƒ»	ø’ ÷	3000	100	600	4000;5000	4000;5000	10	15	40	20	50	300	5	9	702	2	100												80	15000	15000	18	2									
men6_fengyun_tayun	6								720	Àÿªπ’Ê																																										
zongbiaotou_yuntianqi	6								720	ÃÏÕı∏±∞Ô÷˜																																										
Tri“u Æ◊nh mÀt th∏m Th»m Trung	6								720	‘¨∑…‘∆																																										
Ti™u cÙc gian t’ L˝ Tr«n Phong	6	0	0	100000	20	17	10	10	180	…± ÷Ã√∏±Ã√÷˜	ø’ ÷	8000	100	600	4000;5000	4000;5000	10	15	40	20	50	300	5	9	702	2	100												80	1	1	18	2									
Thi™n ¢m Ki’p Ti™u L©u La	0	0	0	50000	18	17	10	10	72000	÷–º∂Ω£øÕ		5000	100	80	1500;2000	1500;2000	10	100	20	100	20	1000	5	18	702	2	100										\settings\droprate\npcdroprateshushan024.ini	6	85	1	1	18	1									
Thi™n ¢m C≠Ìp Ti™u ß«u MÙc	0	0	0	125000	12	17	10	10	72000	“©»À		5000	100	200	3000;4000	3000;4000	10	100	20	100	20	1000	5	18	702	2	50	701	2	50							\settings\droprate\npcdroprateshushan023.ini	6	85	1	1	18	1									
qianfuwren	6								720	÷–‘≠≥Ò∂–◊Ø¿œ∞Â																																										
linjiacheng	6								720	’‘Ÿ•																																										
Tuy’t Tinh Linh	0	0	0	2500	5	17	10	10	259200	—˝∫¸2	ø’ ÷	400	100	17	150;200	0;0	5	7	3	0	6	300	2	27	701	2	100											1	25	60	60	46	1									
MÙc Linh	0	2	2	4000	15	17	10	10	259200	ƒæ»À	ø’ ÷	1200	100	110	100;146	100;146	10	15	40	20	50	300	5	9	702	2	100												37	1530	1530	18	2									
ThÒy Linh 	0	3	3	4000	15	17	10	10	259200	“ıªÍ1	ø’ ÷	1200	100	110	100;146	100;146	10	15	40	20	50	300	5	9	702	2	100												37	1530	1530	18	2									
Kim Linh 	0	1	1	4000	15	17	10	10	259200	ª˙πÿ»À2	ø’ ÷	1200	100	110	100;146	100;146	10	15	40	20	50	300	5	9	702	2	100												37	1530	1530	18	2									
VÚ V®n Phong	6								720	“∂◊”«																																										
VÚ V®n Nguy÷t	6								720	±˘–ƒ																																										
U Minh Qu˚ V≠¨ng	0	0	0	18830	8	17	10	10	259200	 ¨Õı	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	701	2	50	702	2	50									45	1990	1990	46	1									
Thu Dung VÚ L®ng S¨n	6	0	0	10000	15	17	10	10	180	¥∫ Æ»˝ƒÔ	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	702	2	100												45	1800	1800	46	1									
ß«u mÙc X› H·a	0	0	0	45830	8	17	10	10	180	Úøª π’ﬂ	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	702	2	100												45	1800	1800	46	1									
KŒ CuÂng Thi™n ¢m 	0	0	0	50000	18	17	10	10	72000	÷–º∂Ω£øÕ		5000	100	80	1500;2000	1500;2000	10	100	20	100	20	1000	5	18	702	2	100											6	85	1	1	18	1									
Xi H·a Æµn chÒ	0	0	0	11400	8	17	10	10	1080	ª˜Ë˜Î1	ø’ ÷	873	100	160	790;940	790;940	10	35	58	25	64	300	5	9	701	2	50	702	2	50								1	70	849	849	15	0									
Linh ¢m	6								720	Œ‰µ± ◊œØΩø–°≈Æ																																										
ßoπn V≠¨ng Gia	0	0	0	145750	10	17	10	10	720	∂Œ≥–∂˜	ø’ ÷	5000	0	100	2555;2955	2555;2955	0	17	14	8	31	300	2	18	704	2	90	622	4	5	647	4	5						75	849	849	18	1									
Cˆu Ti™n N˜	0	0	0	145750	10	17	10	10	720	æ≠—È«Ÿœ…◊”	ø’ ÷	5000	0	100	2555;2955	2555;2955	0	17	14	8	31	300	2	18	704	2	90	622	4	5	647	4	5						75	849	849	18	1									
U HÂn V≠¨ng	0	0	0	45830	8	17	10	10	259200	 ¨Õı	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	701	2	50	702	2	50									45	1990	1990	46	1									
Xi H·a Gi∏o L´i ß≠Íng chÒ	0	0	0	45830	8	17	10	10	259200	Úøª π’ﬂ	ø’ ÷	1200	100	110	280;504	280;504	10	15	40	20	50	300	5	9	702	2	100												35	1800	1800	46	1									
H¯a Thi’u Hi“n	6									∫´µ§–ƒ																																										
