T©n Y phôc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ  (1-10 m«n ph¸i, 10 c¶ bé trang bŞ)	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
¸o Hµo HiÖp (PhÕ)	0	100	30310	30	40000	0	250	30;30					31426	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\f1_bd_026a1.spr	\image\item\cloth\f1_bd_026a0.spr	Ta cã Hµo HiÖp, uy trÊn tø ph­¬ng.	½¿Ğ¡Å®ºÀÏÀÉÑ	§· khãa		10	4	1	30	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30311	30	40000	0	200	25;17					31556	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30312	30	40000	0	200	25;17					31557	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30313	30	40000	0	200	25;17					31558	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30314	30	40000	0	200	25;17					31559	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30315	30	40000	0	200	17;25					31560	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30316	30	40000	0	200	17;25					31561	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30317	30	40000	0	200	23;23					31562	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30318	30	40000	0	200	23;23					31563	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30319	30	40000	0	200	23;23					31564	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30320	30	40000	0	200	23;23					31565	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30321	30	40000	0	200	17;25					31566	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30322	30	40000	0	200	17;25					31567	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30323	30	40000	0	200	23;23					31568	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30324	30	40000	0	200	23;23					31569	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30325	30	40000	0	200	25;17					31570	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30326	30	40000	0	200	25;17					31571	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30327	30	40000	0	200	25;17					31572	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30328	30	40000	0	200	25;17					31573	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30329	30	40000	0	200	23;23					31574	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30330	30	40000	0	200	23;23					31575	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30331	30	40000	0	200	23;23					31576	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30332	30	40000	0	200	23;23					31577	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30333	30	40000	0	200	17;25					31578	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30334	30	40000	0	200	17;25					31579	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30335	30	40000	0	200	17;25					31580	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30336	30	40000	0	200	17;25					31581	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30337	30	40000	0	200	17;25					31582	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30338	30	40000	0	200	17;25					31583	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30339	30	40000	0	200	17;25					31584	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30340	30	40000	0	200	17;25					31585	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	15	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30341	30	40000	0	200	23;23					31586	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30342	30	40000	0	200	23;23					31587	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30343	30	40000	0	200	23;23					31588	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30344	30	40000	0	200	23;23					31589	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	17	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30345	30	40000	0	200	17;25					31590	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30346	30	40000	0	200	17;25					31591	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30347	30	40000	0	200	17;25					31592	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾üĞÔ¸ĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	ĞÔ¸ĞÅ®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30348	30	40000	0	200	17;25					31593	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü½¿Ğ¡ÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	½¿Ğ¡Å®»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	18	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30349	30	40000	0	200	23;23					31594	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü±êÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	±ê×¼ÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0						
Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0	100	30350	30	40000	0	200	23;23					31595	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ36.spr	\image\item\cloth\»ğ·ï½«¾ü×³ÄĞÒÂ120.spr	ChiÕn bµo do ThÇn Háa Phông ban tÆng <color=Gold>(Trang bŞ cÇn qu©n hµm T­íng qu©n hoÆc Qu©n c«ng ®¹t 2,000,000)	¿ıÎàÄĞ»ğ·ï½«¾üÅÛ	§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0						
